MembershipNumber	FirstName	LastName	Age	Gender	AddressLine1	addressLine2	PostalCode	State	Email	PhoneNumber	Longitude	Latitude
1	Adey	Coster	74	Female	08 Parkside Terrace	\N	78285	New York	acoster0@amazonaws.com	210-563-5139	43	-75
2	Lucilia	Riddoch	82	Female	3 Tennyson Lane	7903 Reindahl Hill	76134	New York	lriddoch1@umn.edu	817-312-4498	43	-75
3	Lauritz	Snufflebottom	56	Male	5717 Sommers Lane	\N	85010	New York	lsnufflebottom2@huffingtonpost.com	602-167-1388	43	-75
4	Janie	Agdahl	66	Female	61 Mockingbird Road	\N	06510	New York	jagdahl3@mozilla.org	203-365-3599	43	-75
5	Kellina	Swalough	50	Female	0340 Anthes Circle	140 Saint Paul Avenue	45414	New York	kswalough4@sbwire.com	937-436-7066	43	-75
6	Cordy	Burnell	78	Female	0617 Tomscot Drive	73 Beilfuss Parkway	44321	New York	cburnell5@drupal.org	330-800-2634	43	-75
7	Deedee	Angliss	29	Female	63 Armistice Street	6 Mcguire Parkway	45505	New York	dangliss6@state.gov	937-637-3440	43	-75
8	Hazel	Verralls	12	Male	24107 Lindbergh Plaza	73 Delladonna Trail	80243	New York	hverralls7@creativecommons.org	303-191-7586	43	-75
9	Daniela	Boerderman	37	Female	92 Marquette Court	\N	88541	New York	dboerderman8@blinklist.com	915-608-7482	43	-75
10	Chelsea	Tiebe	53	Female	02150 Village Junction	\N	71130	New York	ctiebe9@discovery.com	318-387-0316	43	-75
11	Tiphani	Castangia	63	Female	05 Surrey Hill	\N	93750	New York	tcastangiaa@photobucket.com	559-616-5499	43	-75
12	Marney	Marklin	75	Female	89858 Annamark Hill	\N	14269	New York	mmarklinb@alibaba.com	716-131-7141	43	-75
13	Jerrie	Tomlett	25	Female	383 Loeprich Lane	95224 Dennis Point	19897	New York	jtomlettc@reverbnation.com	302-968-1793	43	-75
14	Kearney	Ivachyov	23	Male	62 Muir Center	865 Becker Avenue	53220	New York	kivachyovd@constantcontact.com	414-518-8205	43	-75
15	Mart	Arndell	79	Male	5 Sutteridge Crossing	\N	75323	New York	marndelle@economist.com	214-412-7574	43	-75
16	Ely	Kennon	55	Male	8111 Scott Terrace	\N	91131	New York	ekennonf@privacy.gov.au	626-758-8714	43	-75
17	Karlis	Redholes	36	Male	17 Bultman Court	\N	94257	New York	kredholesg@state.gov	916-630-1814	43	-75
